dir,status,split,calibration,n,n_vpn,auc,pr_auc
artifacts/ensemble/lood_iscx,2-DS (by design),test,raw,1278,231,0.27911121034330205,0.13631896807023994
artifacts/lood_firewall_tuned/hold_usbvpn,2-DS (by design),test,raw,52182,8327,0.2595451836520827,0.14326680986984425
artifacts/leave_two_out/vnat,2-DS (by design),train,iso,2487,5,1.0,1.0
artifacts/leave_two_out/usbvpn,2-DS (by design),train,iso,41245,5951,0.9998824955473763,0.9986183831385476
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,2-DS (by design),train,iso,16138,2378,0.9998036904424277,0.99792768059388
artifacts/ensemble/lood_iscx,2-DS (by design),train,iso,41230,7720,0.9995284970227741,0.9964510204601661
artifacts/experiments/exp_db_iat_balanced,3-DS ✅,train,iso,21303,10349,0.9994691034229122,0.9990481062166776
artifacts/lood_firewall_tuned/hold_iscx,2-DS (by design),train,iso,41230,7720,0.9993499562422786,0.9945291622487704
artifacts/ensemble/diverse_bagging_robust9,3-DS ✅,train,iso,51499,8013,0.9993419965081234,0.9957829539412827
artifacts/balanced_bagging_lgbm,3-DS ✅,train,iso,57971,9135,0.9993113082522816,0.9936602657946652
artifacts/balanced_bagging_tuned,3-DS ✅,train,iso,51499,8013,0.9992457741498676,0.9926106727050504
artifacts/leave_two_out/iscx,2-DS (by design),train,iso,9561,2263,0.9991817623990833,0.9948579992096612
artifacts/balanced_subset/balanced,3-DS ✅,train,iso,20698,10349,0.9991289408849438,0.999129218920158
artifacts/balanced_bagging_xgb,3-DS ✅,train,iso,57971,9135,0.9990338271456497,0.9912469811399902
artifacts/ensemble/balanced_ensemble_robust9,3-DS ✅,train,iso,22696,6965,0.9987604276365161,0.996650519545167
artifacts/balanced_subset/full,3-DS ✅,train,iso,49506,10349,0.9987434303464897,0.9978584442813858
artifacts/ensemble/lood_vnat,2-DS (by design),train,iso,47137,10340,0.9986934905392643,0.99290231785335
artifacts/ensemble/diverse_bagging_robust,3-DS ✅,train,iso,49506,10349,0.9986637002225517,0.9928238975341119
artifacts/experiments/exp_b_balanced,3-DS ✅,train,iso,31306,10703,0.9986016165538111,0.9956422860038237
artifacts/experiments/exp_d_iat_expanded,3-DS ✅,train,iso,49506,10349,0.9984716034202833,0.9898763260379551
artifacts/thesis_finalization/lodo_test_iscx,2-DS (by design),train,iso,46566,8073,0.9983262081311529,0.9846209605672372
artifacts/lood_firewall_tuned/hold_vnat,2-DS (by design),train,iso,47137,10340,0.9981244384410489,0.9897859070891885
artifacts/balanced_bagging,3-DS ✅,train,iso,49506,10349,0.9980187584268996,0.9885558654089478
artifacts/balanced_bagging_cat,3-DS ✅,train,iso,57971,9135,0.9978243413620368,0.9848520447355776
artifacts/experiments/baseline_3ds,3-DS ✅,train,iso,54857,10703,0.9970489340919616,0.9827462208244362
artifacts/experiments/exp_f1_light_balance,3-DS ✅,train,iso,45058,8781,0.9970221254050998,0.9821127216751695
artifacts/experiments/exp_b_balanced_sample,3-DS ✅,train,iso,21303,10349,0.9965177951532769,0.9943434271911893
artifacts/experiments/exp_f7_lgbm-heavy,3-DS ✅,train,iso,31306,10703,0.9950638215750826,0.9856503850595433
artifacts/balanced_bagging_firewall_tuned_ensemble,3-DS ✅,train,iso,49506,10349,0.9947256065803644,0.9712199751115813
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,3-DS ✅,train,iso,49506,10349,0.9947256065803644,0.9712199751115813
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,3-DS ✅,train,iso,49506,10349,0.9947256065803644,0.9712199751115813
artifacts/experiments/exp_f7_xgb-heavy,3-DS ✅,train,iso,31306,10703,0.9943577368627572,0.9822116271148333
artifacts/experiments/exp_c_combined,3-DS ✅,train,iso,31306,10703,0.9943563968112324,0.9838005140188822
artifacts/experiments/exp_d1_safe_expanded,3-DS ✅,train,iso,31306,10703,0.9943563968112324,0.9838005140188822
artifacts/experiments/exp_d2_full_expanded,3-DS ✅,train,iso,31306,10703,0.9943563968112324,0.9838005140188822
artifacts/experiments/exp_d_iat_balanced,3-DS ✅,train,iso,31306,10703,0.9943563968112324,0.9838005140188822
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,3-DS ✅,train,iso,49724,10411,0.993804793417621,0.966614097121131
artifacts/experiments/exp_f7_cat-heavy,3-DS ✅,train,iso,31306,10703,0.9931441920971977,0.980885044902607
artifacts/thesis_finalization/lodo_test_vnat,2-DS (by design),train,iso,47523,10467,0.9927863730846334,0.9567167369514236
artifacts/experiments/exp_f2_strict_reg,3-DS ✅,train,iso,31306,10703,0.9925141774163551,0.9791067074792222
artifacts/experiments/exp_f4_diverse_bagging,3-DS ✅,train,iso,31306,10703,0.9921567305761197,0.9752436007572972
artifacts/experiments/exp_f6_ratio_1_5,3-DS ✅,train,iso,31306,10703,0.99214950200715,0.9763837191505856
artifacts/experiments/exp_a_no_direction,3-DS ✅,train,iso,54857,10703,0.992145506703367,0.9542190760587127
artifacts/experiments/exp_f6_ratio_2_0,3-DS ✅,train,iso,31306,10703,0.9912854680744878,0.9731400553717513
artifacts/experiments/exp_f6_ratio_3_0,3-DS ✅,train,iso,31306,10703,0.9912854680744878,0.9731400553717513
artifacts/experiments/ablation_4f_no_p75,3-DS ✅,train,iso,49506,10349,0.9908466562824079,0.9468997414404541
artifacts/experiments/ablation_4f_no_p25,3-DS ✅,train,iso,49506,10349,0.9905497007763082,0.9443371734610861
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,3-DS ✅,train,iso,40583,10703,0.9895755668974443,0.9625004849394279
artifacts/experiments/exp_f9_reduced,3-DS ✅,train,iso,31306,10703,0.9890934770921864,0.9690369968233389
artifacts/experiments/exp_f5_weighted_usb,3-DS ✅,train,iso,35664,7228,0.9887646633615557,0.93902816837442
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,3-DS ✅,train,iso,40583,10703,0.9866870437306859,0.9522573107737455
artifacts/ensemble/diverse_bagging_robust13,3-DS ✅,train,iso,51499,8013,0.9851767489842068,0.9174815965606125
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,3-DS ✅,train,iso,40583,10703,0.9784958373467085,0.9282714679689124
artifacts/experiments/ablation_3f_core,3-DS ✅,train,iso,49506,10349,0.9687877608086807,0.8723616149090658
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,3-DS ✅,train,iso,40583,10703,0.9514954145273986,0.8604939552586441
artifacts/experiments/feature_leakage_reduction/exp_3f-core,3-DS ✅,train,iso,40583,10703,0.9483782102779674,0.8365148625810139
artifacts/ensemble/lood_usbvpn,2-DS (by design),train,iso,10645,2638,0.9359548028151637,0.7797424984639056
artifacts/experiments/exp_e_adversarial,3-DS ✅,train,iso,31306,10703,0.8777590646220869,0.7583276049647646
artifacts/thesis_finalization/lodo_test_usbvpn,2-DS (by design),train,iso,15625,2866,0.8397346136687063,0.41515688566415104
artifacts/experiments/baseline_2ds,2-DS (by design),train,iso,15625,2866,0.8383241045946686,0.41179808164227555
artifacts/lood_firewall_tuned/hold_usbvpn,2-DS (by design),train,iso,10645,2638,0.807726119668035,0.49382522308107624
artifacts/leave_two_out/vnat,2-DS (by design),train,platt,2487,5,1.0,1.0
